Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
nop-entropy,613,2025-06-05,2022-08-18,https://github.com/entropy-cloud/nop-entropy,83,1,Java,Apache License 2.0,"Nop Platform 2.0 is a next-generation low-code development platform built from scratch based on the principles of reversible computation, adopting a language-oriented programming paradigm. It includes","aigc,amis,graalvm,graphql,java,lowcode,nocode,quarkus,report,report-engine,rule-engine,vue3,workflow"
Implem.Pleasanter,593,2025-05-22,2016-03-27,https://github.com/Implem/Implem.Pleasanter,86,14,C#,GNU Affero General Public License v3.0,Pleasanter is a no-code/low-code development platform that runs on .NET. You can quickly create business applications with simple operations.,
magic,589,2025-06-05,2025-05-14,https://github.com/dtyq/magic,73,7,PHP,Other,The first open-source all-in-one AI productivity platform,"agent,agi,ai,gpt,llm,low-code,mcp,no-code,sandbox,workflow"
jw-community,566,2025-06-04,2011-07-01,https://github.com/jogetworkflow/jw-community,231,15,JavaScript,No license,"Joget is an open source no-code/low-code application platform that combines the best of rapid application development, business process automation and workflow management. This Joget open source repos","css,hibernate,java,javascript,low-code,no-code,spring"
r2dec-js,547,2025-05-15,2017-04-25,https://github.com/wargio/r2dec-js,52,35,JavaScript,No license,"r2dec-js is a JavaScript-based decompiler that converts assembly code into pseudo-C. It aids users in understanding assembly by providing readable high-level explanations, making low-level programming","assembly,converts-asm,decompiler,duktape,javascript,pseudo,radare2"
LinkedDataHub,542,2025-06-04,2017-01-10,https://github.com/AtomGraph/LinkedDataHub,136,34,XSLT,Apache License 2.0,The low-code Knowledge Graph application platform. Apache license.,"data-driven,data-management,declarative,framework,knowledge-graph,linked-data,linked-open-data,low-code,ontology-driven-development,openid-connect,owl,platform,rdf,semantic-web,sparql,triplestore,webid,xslt"
goatdb,530,2025-06-02,2024-12-03,https://github.com/goatplatform/goatdb,14,12,TypeScript,Apache License 2.0,"An Embedded, Distributed, Document DB","backend,browser,database,deno,devtools,edge,frontend,local-first,low-code,react,typescript"
camel-karavan,513,2025-05-30,2021-10-04,https://github.com/apache/camel-karavan,187,27,TypeScript,Apache License 2.0,Apache Camel Karavan a Low-code Data Integration Platform,"camel,docker,integration,java,kubernetes,low-code,vscode"
buildship,506,2024-06-11,2023-07-31,https://github.com/rowyio/buildship,56,4,TypeScript,MIT License,"Low-code Visual Backend Builder, powered by AI ✨ Create APIs, scheduled jobs, backend tasks, database CRUD, and integrate with any tool or APIs.","api,automation,backend,backend-api,cron,cronjob,crud,integration,low-code,no-code,scheduled-tasks,workflow"
fastapi-starter,494,2025-05-07,2021-08-19,https://github.com/gaganpreet/fastapi-starter,52,24,TypeScript,MIT License,"A FastAPI based low code starter/boilerplate: SQLAlchemy 2.0 (async), Postgres, React-Admin, pytest and cypress","cookiecutter,cookiecutter-fastapi,cookiecutter-template,docker,docker-compose,fastapi,fastapi-boilerplate,fastapi-template,fastapi-users,openapi-generator,postgres,python,python3,react,react-admin,sqlalchemy,typescript"
skyve,494,2025-06-05,2014-07-28,https://github.com/skyvers/skyve,89,19,JavaScript,GNU Lesser General Public License v2.1,"Skyve is an open-source low-code platform that gives you access to all of the key capabilities needed to build sophisticated, robust and scalable cloud solutions.","framework,java,low-code,skyve,xml"
noodl,483,2024-07-18,2024-01-26,https://github.com/noodlapp/noodl,136,27,TypeScript,GNU General Public License v3.0,Noodl is a low code platform for creating full stack web applications,"app-builder,editor,javascript,low-code,low-code-platform,react,typescript,workflow"
node-red-contrib-uibuilder,479,2025-06-04,2017-04-18,https://github.com/TotallyInformation/node-red-contrib-uibuilder,91,4,JavaScript,Apache License 2.0,Easily create data-driven web UI's for Node-RED. Single- & Multi-page. Multiple UI's. Work with existing web development workflows or mix and match with no-code/low-code features.,"css,dashboard,data-driven,flow-based-programming,html,javascript,low-code,no-code,node-red,ui,web-app,web-application,web-components,webapp,website,websockets,zero-code"
Entity-Builder,474,2025-06-05,2019-08-18,https://github.com/GooGee/Entity-Builder,69,0,TypeScript,No license,:tomato: low code builder for Laravel.,"crud,generator,laravel,scaffold"
uimix,455,2024-06-25,2022-04-18,https://github.com/uimix-editor/uimix,26,1,TypeScript,MIT License,A WYSIWYG React component builder 🚧 Very work-in-progress,"css,design-to-code,html,javascript,low-code,no-code,react,ui-components"
r3,448,2025-06-05,2021-09-20,https://github.com/r3-team/r3,62,8,JavaScript,MIT License,REI3 - Free and open low code,"application-builder,business-managment,business-software,business-solutions,free-software,golang,internal-solutions,internal-tools,low-code,lowcode,no-code,nocode,selfhosted,web-development,webdevelopment"
