Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
fastschema,548,2026-01-22,2024-04-02,https://github.com/fastschema/fastschema,50,30,Go,MIT License,All-in-One Backend as a Service with Headless CMS Power,"backend,backend-as-a-service,cms,framework,golang,headless-cms,low-code,no-code,rbac,react"
ethora,528,2026-04-17,2021-06-21,https://github.com/dappros/ethora,109,0,JavaScript,GNU Affero General Public License v3.0,"Open-source engine for chat 💬, AI assistants 🤖 & wallets 🪪. React, Typescript, Python, XMPP. Build future apps with chat, AI agents and web3.","ai-chat,chat-sdk,chat-widget,chatbot,developer-tools,ejabberd,ethereum,ethora,low-code,mcp,messaging,open-source,rag,react,react-native,reactjs,super-app,wallet,web3,xmpp"
fastapi-starter,522,2025-10-29,2021-08-19,https://github.com/gaganpreet/fastapi-starter,52,28,TypeScript,MIT License,"A FastAPI based low code starter/boilerplate: SQLAlchemy 2.0 (async), Postgres, React-Admin, pytest and cypress","cookiecutter,cookiecutter-fastapi,cookiecutter-template,docker,docker-compose,fastapi,fastapi-boilerplate,fastapi-template,fastapi-users,openapi-generator,postgres,python,python3,react,react-admin,sqlalchemy,typescript"
node-red-contrib-uibuilder,516,2026-04-09,2017-04-18,https://github.com/TotallyInformation/node-red-contrib-uibuilder,94,13,JavaScript,Apache License 2.0,Easily create data-driven web UI's for Node-RED. Single- & Multi-page. Multiple UI's. Work with existing web development workflows or mix and match with no-code/low-code features.,"css,dashboard,data-driven,flow-based-programming,html,javascript,low-code,no-code,node-red,ui,web-app,web-application,web-components,webapp,website,websockets,zero-code"
n8n-workflow-builder,511,2026-03-19,2025-01-14,https://github.com/makafeli/n8n-workflow-builder,126,4,JavaScript,MIT License,"AI assistant integration for n8n workflow automation through Model Context Protocol (MCP). Connect Claude Desktop, ChatGPT, and other AI assistants to n8n for natural language workflow management.","ai-assistant,ai-automation,ai-integration,api-integration,api-wrapper,automation-tools,chatgpt-integration,claude-desktop,low-code,mcp-server,model-context-protocol,n8n,no-code,nodejs,rest-api,typescript,webhook,workflow-automation,workflow-management"
skyve,501,2026-04-18,2014-07-28,https://github.com/skyvers/skyve,93,25,JavaScript,GNU Lesser General Public License v2.1,"Skyve is an open-source low-code platform that gives you access to all of the key capabilities needed to build sophisticated, robust and scalable cloud solutions.","framework,java,low-code,skyve,xml"
shesha-framework,491,2026-04-17,2023-02-08,https://github.com/shesha-io/shesha-framework,134,482,TypeScript,Apache License 2.0,An open-source Low-Code development framework for .NET developers. Create .NET based business applications with 80% less code.,"abp,abp-framework,app-factory,business-solutions,crud-application,csharp,enterprise-software,low-code-framework,nextjs,open-source,react,workflow-automation"
aeria,478,2026-04-09,2024-03-02,https://github.com/aeria-org/aeria,5,3,TypeScript,MIT License,A language designed for the web that integrates with TypeScript,"aeria,appsec,bun,deno,javascript,low-code,mongodb,node,odm,orm,prisma,rapid-development,strong-typed,typescript,vibe-coding"
Entity-Builder,474,2026-04-15,2019-08-18,https://github.com/GooGee/Entity-Builder,69,0,TypeScript,No license,:tomato: low code builder for Laravel.,"crud,generator,laravel,scaffold"
db2rest,455,2026-03-19,2023-12-14,https://github.com/9tigerio/db2rest,87,25,Java,Apache License 2.0,"Instant no code DATA API platform for relational databases. Connect any database, run anywhere. Power your GENAI application function/tools calls in seconds.","ai,data-api,generative-ai,java,llm,low-code,lowcode,mariadb,mysql,mysql-database,no-code,nocode,oracle,postgres,postgresql,restapi,spring-boot,springboot,sqllite"
learn-low-code-agentic-ai,444,2025-10-08,2025-07-28,https://github.com/panaversity/learn-low-code-agentic-ai,182,16,No language,MIT License,"Low-Code Full-Stack Agentic AI Development using LLMs, n8n, Loveable, UXPilot, Supabase and MCP. Class Videos: https://www.youtube.com/playlist?list=PL0vKVrkG4hWq5T6yqCtUL7ol9rDuEyzBH","llms,loveable,mcp,n8n,supabase"
sdk,436,2026-04-15,2024-02-04,https://github.com/chaibuilder/sdk,71,3,TypeScript,"BSD 3-Clause ""New"" or ""Revised"" License",Open source Website Builder for React JS frameworks,"ai,low-code,react,tailwindcss,website-builder"
flowfuse,382,2026-04-17,2021-06-29,https://github.com/FlowFuse/flowfuse,83,870,JavaScript,Other,"Connect, Collect, Build, and Scale with FlowFuse","flow-based-programming,low-code,low-code-development,low-code-development-platform,no-code,node-red,visual-programming"
superviz,380,2026-01-30,2024-09-13,https://github.com/SuperViz/superviz,5,9,TypeScript,No license,"SuperViz provides powerful SDKs and APIs that enable developers to easily integrate real-time features into web applications. Our platform accelerates development across various industries with robust, scalable infrastructure and a low-code approach.","autodesk,autodesk-forge,collaboration,comments,crdt,matterport,multiplayer,presence,react,reactflow,real-time,superviz,three,video-conferencing,webrtc,websockets,yjs,yjs-provider"
convertigo,376,2026-04-15,2018-01-25,https://github.com/convertigo/convertigo,70,37,Java,Other,Convertigo is an open source Low Code platform including a No Code  Application builder for full-stack mobile and web application development,"angular,convertigo,ionic-framework,kubernetes,low-code-development-platform,microservices,mobile-development,no-code,opensource"
panel-graphic-walker,352,2025-12-03,2024-10-25,https://github.com/panel-extensions/panel-graphic-walker,14,11,Python,MIT License,A project providing a Graphic Walker Pane for use with HoloViz Panel.,"business-intelligence,data,data-analysis,data-app,data-exploration,data-mining,data-visualization,eda,holoviz-panel,low-code,notebook,pivot-table,python,tableau,tableau-alternative,vega,vega-lite,visualization"
EasyEditor,346,2026-02-02,2024-10-21,https://github.com/Easy-Editor/EasyEditor,28,1,TypeScript,MIT License,Plugin-based cross-framework low-code engine for building visual application platforms  |  用于构建可视化应用平台的插件化跨框架低代码引擎,
Forge,321,2026-04-03,2018-12-19,https://github.com/microsoft/Forge,54,18,C#,MIT License,A Generic Low-Code Framework Built on a Config-Driven Tree Walker,"async,config,config-driven,csharp,decision-tree,dynamic,forge,generic,low-code,microsoft,netstandard20,persisted-state,roslyn,stateful,tree-visualization,treewalker,ui,workflow-engine,workflow-framework"
noco-form,314,2026-04-10,2024-11-02,https://github.com/nocokit/noco-form,46,7,TypeScript,MIT License,noco-form,"dynamic,form,low-code,nocokit,vue3"
umple,274,2026-04-18,2015-08-26,https://github.com/umple/umple,202,342,Java,MIT License,"Umple: Model-Oriented Programming - embed models in code and vice versa and generate complete systems. Save yourself lots of coding. Do it collaboratively online in UmpleOnline, in an IDE or on the command line.","class-diagram,code-generation,editor,low-code,modeling,state-machine,uml,umple"
lyzr-automata,273,2025-10-22,2024-02-08,https://github.com/LyzrCore/lyzr-automata,37,8,Python,No license,low-code multi-agent automation framework,
flyto-core,265,2026-04-19,2025-12-04,https://github.com/flytohub/flyto-core,46,0,Python,Apache License 2.0,"The open-source execution engine for AI agents. 412 modules, MCP-native, triggers, queue, versioning, metering.","ai-agents,ai-tools,atomic-modules,automation,browser-automation,execution-engine,llm,low-code,mcp,mcp-server,model-context-protocol,open-source,playwright,python,rpa,security,web-scraping,workflow-automation,workflow-engine"
open-wes,262,2026-04-13,2024-12-10,https://github.com/jingsewu/open-wes,36,7,Java,MIT License,"🔥 Open WES is a customizable, open-source Warehouse Execution System designed to streamline warehouse operations. By integrating AI-driven optimization and a microservices architecture, Open WES delivers smarter, scalable, and future-ready solutions for modern supply chains. 🌟 Star to support our work!","ai-warehousing,customization,lowcode,microservices,spring-cloud,warehouse,warehouse-management-system,wms"
apibrew,253,2026-02-09,2023-01-21,https://github.com/tislib/apibrew,8,12,Go,MIT License,APIBrew is Low code software to automate building CRUDs from yaml files,"api,application-builder,code-generation,crud,grpc,low-code,low-code-platform,nodejs,openapi,openapi3,rest,rest-api,restful,restful-api,swagger,typescript"
studio,244,2026-04-16,2024-08-09,https://github.com/frappe/studio,78,19,Vue,GNU Affero General Public License v3.0,Visual App Builder for the Frappe Framework,"app-builder,erpnext,frappe,frappe-framework,frappe-ui,javascript,low-code,open-source,python,typescript,vue"
nocode-platform-boilerplate,230,2025-12-08,2023-06-10,https://github.com/nocode-js/nocode-platform-boilerplate,35,0,TypeScript,MIT License,Powerfull no-code platform boilerplate. Clone this repo and start your no-code platform today. Next.js + Tailwindcss + TypeScript + NoCode JS components. Check out https://nocode-js.com,"boilerplate,lowcode,nextjs-boilerplate,nextjs-starter,nextjs-template,nocode,nocode-boilerplate,nocode-platform-boilerplate,template,template-project"
chameleon,227,2026-01-17,2022-01-14,https://github.com/hlerenow/chameleon,20,4,TypeScript,Apache License 2.0,React Web visual programming engine -- LowCode,"editor,engine,lowcode,lowcode-editor,lowcode-engine,react,visual,web-builder-framework,web-editor,webpage"
learn-agentic-ai-from-low-code-to-code,223,2025-11-20,2025-10-08,https://github.com/panaversity/learn-agentic-ai-from-low-code-to-code,55,1,No language,MIT License,"Build production-grade agents with OpenAI AgentKit, a no-code platfrom.","agent-kit,mcp,openai"
mcp-n8n-workflow-builder,220,2026-04-12,2025-03-15,https://github.com/salacoste/mcp-n8n-workflow-builder,58,1,JavaScript,MIT License,"AI-powered n8n workflow automation through natural language. MCP server enabling Claude AI & Cursor IDE to create, manage, and monitor workflows via Model Context Protocol. Multi-instance support, 17 tools, comprehensive docs. Build workflows conversationally without manual JSON editing.","ai-automation,ai-tools,api-management,automation-platform,claude-ai,cursor-ide,low-code,mcp,model-context-protocol,multi-instance,n8n,natural-language,no-code,nodejs,typescript,workflow-automation,workflow-builder"
spidercreator,216,2025-08-25,2025-02-16,https://github.com/carlosplanchon/spidercreator,22,6,Python,GNU Affero General Public License v3.0,Automated web scraping spider generation using Browser Use and LLMs. Streamline the creation of Playwright-based spiders with minimal manual coding. Ideal for large enterprises with recurring data extraction needs.,"ai,automation,browser-use,crawling,llm,low-code,no-code,python,rpa,scraping,spider,vibe-coding"
basemulti,206,2026-04-11,2024-11-14,https://github.com/basemulti/basemulti,20,3,No language,No license,✨ Connect your database. Get an admin panel in seconds. No cloud. No lock-in.,"airtable-alternative,app-builder,backend,database,headless-cms,low-code,mysql,no-code,postgresql,self-hosted,spreadsheet,sqlite,typescript"
platform,204,2026-04-19,2018-06-11,https://github.com/lsfusion/platform,40,189,Java,GNU Lesser General Public License v3.0,lsFusion is an extremely declarative open-source language-based platform for information systems development ,"database-servers,enterprise,enterprise-software,erp-framework,framework,full-stack,low-code,low-code-development,low-code-development-platform,low-code-framework,low-code-platform,platform,rad,sql,web-framework"
flowbaker,196,2026-04-19,2025-08-09,https://github.com/flowbaker/flowbaker,16,1,Go,Apache License 2.0,"Execution engine powering Flowbaker, a no code platform to build, connect, and automate workflows.","agents,ai,ai-agents,aiagents,automation,integration,integration-platform,integrations,low-code,no-code,self-hosted,workflow,workflow-automation,workflow-engine,workflows"
multi-agent-generator,190,2026-04-10,2025-04-25,https://github.com/aakriti1318/multi-agent-generator,42,5,Python,MIT License,Low-code/no-code python library that transforms plain English instructions into fully configured multi-agent AI teams ,
EpicStaff,189,2026-04-19,2025-03-20,https://github.com/EpicStaff/EpicStaff,27,36,Python,Other,Open-source platform for building AI agents with a visual UI and modular backend.,"ade,ai,aiagents,aiagentsframework,gui,low-code,multi-agent-systems,no-code,nodebasedprogramming,orchestration,python"
Portofino,186,2025-10-02,2015-02-17,https://github.com/ManyDesigns/Portofino,57,156,Java,Other,"Portofino 5 is the next generation of the open-source low-code web framework Portofino. Its purpose is to help developers create modern, responsive enterprise applications with REST APIs and an Angular UI.","angular,database,groovy,hacktoberfest,hibernate,java,low-code,model-driven,rad,rest,rest-api"
ryax-engine,186,2026-04-09,2022-05-04,https://github.com/RyaxTech/ryax-engine,6,1,Python,Mozilla Public License 2.0,Ryax is the low-code serverless and open-source solution to build faster your AI workflows and applications,"backend,backend-api,backend-services,docker,hpc,kubernetes,nix,workflow"
lightning,181,2026-01-28,2020-11-30,https://github.com/git-men/lightning,26,6,Python,MIT License,A Django based no code Admin and low code develop framework,"admin,django,lowcode,nocode,python"
raggenie,181,2025-07-25,2024-08-13,https://github.com/sirocco-ventures/raggenie,67,31,Python,MIT License,"RAGGENIE: An open-source, low-code platform to build custom Retrieval-Augmented Generation (RAG) Copilets with your own data. Simplify AI development with ease!","genai,hacktoberfest,llm,rag"
web-design,178,2026-02-25,2021-07-20,https://github.com/ahyiru/web-design,7,0,JavaScript,MIT License,Low-Code development platform.,"dashboard,express,full-stack,hooks,jsonschema,low-code,mongoose,nodejs,react,responsive,webgl,webpack"
